conversation,true_label,pred_label
보고서 언제까지쓰라고 했지? [SEP] 이번주 금요일까지 쓰라고 했습니다. [SEP] 지금 치매초기증상인건가? [SEP] 예?무슨말씀이신지. 분명히 지난주에 팀장님이 이번주 금요일까지 보고서 가져오라고 하셨는데요. [SEP] 옥상가서 기합좀 받아봐야 정신차리겠어? 내가언제그렇게 말했지? [SEP] 죄송합니다.제가 잘못들은게 맞는것같습니다. [SEP] 이자식이지금 나한테장난치나? 한입가지고두말하나? [SEP] 정말죄송합니다.제가실언했습니다. [SEP] 그혓바닥을 뽑아버려야 정신차리고일하겠어? 게으른놈이 어디서 자꾸 말바꾸고 핑계야? [SEP] 정말죄송합니다.다시는 핑계대지않겠습니다.,협박 대화,직장 내 괴롭힘 대화
뒤지고싶지? 시키는대로 안해? [SEP] 죄송해요. [SEP] 덜쳐맞았나봐? 내가 사람 여럿 찔러봤다고 말했지. [SEP] 하겠습니다. [SEP] 아 말에 토달지 말고 하라고. 참 니 동생 좋은 회사 다니더라? [SEP] 죄송합니다. [SEP] 동생이랑 같은 날 제삿날로 만들어줘? [SEP] 잘하겠습니다. 동생은 건들지 말아주세요. [SEP] 명령하네? 진짜 뒤지고싶은가보다 [SEP] 아닙니다.죄송합니다.,협박 대화,직장 내 괴롭힘 대화
이번에 공사 하나 하는데 너네 애들좀 쓰자. [SEP] 이번에도 말입니까.? [SEP] 응. 쓰던 애들이 편하고 좋더라고 [SEP] 이번엔 안됩니다 형님. [SEP] 다른데 애들은 또 비싸. 그러면 돈을 좀 주던가 [SEP] 죄송합니다. 힘들것 같습니다. [SEP] 힘들어? 너 진짜 인생이 힘들어 지고 싶어? [SEP] 정말 왜 그러십니까 형님. [SEP] 니네 사장이랑 나랑 어떤 관계인지 알지? [SEP] 예 알겠습니다.,갈취 대화,직장 내 괴롭힘 대화
선생님 이번에 수학여행좀 저 대신 다녀와주세요 [SEP] 수학여행이요? 선생님 반이요? [SEP] 네 [SEP] 갑자기 왜요? [SEP] 아 제가 몸이 좀 안좋을것같아서 부탁좀 드릴게요 [SEP] 그래도 별 다른 이유도 없는데 제가 가는 것도 안좋아 보일 것같아요 [SEP] 선생님 곧 계약 끝나시지않으세요? 여기 이사장 우리 외삼촌인거 아시죠? [SEP] 아.네 [SEP] 이번 수학여행만 잘다녀오시면 제가 말씀좀 드려볼게요 외삼촌이 저 이뻐하시거든요 애들 데리고 수학여행 갈 생각하니까 벌써부터 두통이와서 잠이안와 피부가 푸석푸석해지더라구요 [SEP] 네.,직장 내 괴롭힘 대화,기타 괴롭힘 대화
여보 식사하세요 [SEP] 어 지금 가. [SEP] 여보 오늘도 고생 많았어요. [SEP] 왜이래? 밥이나 먹어. [SEP] 당신 근데 견과류 알러지 있다고 했죠? [SEP] 어. 먹으면 목이 부어서 숨이 안쉬어져. 그래서 어릴 때 이 후로 한 번도 먹어본 적없어. 왜? [SEP] 아니에요. 나도 당신 만나고 견과류 먹어본 기억이 없어서. [SEP] 내가 안먹으니 너도 안먹어야지. 말이라고 해? [SEP] 알죠. 그래서 지금까지 안먹었잖아요 근데 여보 오늘 샐러드 드레싱 어때요 ? 땅콩 좀 갈아 넣어봤는데 [SEP] .윽.뭐야? 당신.일.일부러. 윽 . 살려줘.약.약!.켁. [SEP] 여보 그 동안 고마웠어요 그러게 내가 원하는 대로 해줬으면 좋았잖아.잘가요 여보,협박 대화,기타 괴롭힘 대화
이봐요 씨 이거 보여? [SEP] 이러지 마십시오 [SEP] 이러지 말기는 이게 바로 메스라는거야. 날이 참 잘 들었지요? [SEP] 저는 모르는 일입니다. 이러지 마십시오! [SEP] 아이고 그러셔요 우리 씨는 모르는 일이셨구나. 근데 나는 씨가 알든 말든 상관이 없어요 나는 이걸로 간단히 장기 몇개만 챙겨가면 되거든 [SEP] 경찰에 신고하겠습니다. [SEP] 이야 신고정신 투철한거 좋지! 훌륭한 문화시민! [SEP] 저 장난하는거 아닙니다 진짜 신고할거에요 [SEP] 해 괜찮아 어차피 장기떼다 파는 놈이 경찰 무서워서 이짓을 하겠어? [SEP] 저한테 대체 뭘 바라시는 겁니까 [SEP] 내가 바라는거야 뭐 댁 장기가 좀 깨끗했으면 좋겠다 이거밖에 없지. [SEP] 원하시는게 있을거 아닙니까! [SEP] 뭐 그거는 내가 아니라 사장님한테 물어봐야 할 거 아닐까? 물어볼 수 있으면 말야. [SEP] 자 어째 이대로 나랑 즐거운 시간을 보내볼래 아니면 일단 사장님이랑 마지막 통화연결이라도 해드려?,협박 대화,갈취 대화
사람은 한 쪽 신장이 없어도 살 수 있다던데 [SEP] 갑자기 그 얘기는 왜 하는거야? [SEP] 아니 신장 하나 없어도 살 수 있다고 하면 굳이 두개가 필요한가 해서 [SEP] 지금 나한테 하는 말이야? [SEP] 어차피 사정이 이렇게 된 거 니가 하나 떼서 돈이라도 벌어오면 좋잖아? [SEP] 내가 왜 누구를 위해서 그래야 하는건데? [SEP] 누구를 위해서라고 한다면 음. 쉽게 설명해줘? 니 모든 정보다 우리가 갖고 있는거 알지? [SEP] 그게 뭐가 중요한데 [SEP] 그럼 이제 막 걷기 시작한 니 새끼가 어디에 있는지도 다 알고 있다는 거겠지? [SEP] 뭐? 우리 애한테는 손대지마. 제발 내가 어떻게 해서든 돈 구해올게. [SEP] 너무 오래 기다려줬어. 그러니까 그냥 쉽게 가자. 잠깐만 자고 일어나면 다 끝나 있을거야. [SEP] 이거 놔 싫어 지금 뭐하는 거야!,협박 대화,갈취 대화
미연씨 혹시 오늘 저녁에 뭐 먹어요? [SEP] 저 오늘 아직 저녁 생각은 안해봤어요! [SEP] 아. 혹시 그럼 오늘 저녁에 이거 먹을래요? [SEP] 네? 아 혹시 저 주시려고 만드신 건가요? [SEP] 아니 그건 아니고. 이게 내가 실수로 메뉴를 잘못 만들었는데 버리긴 아깝잖아 [SEP] 감사합니다! 그럼 제가 오늘 퇴근하면서 가져가겠습니다! [SEP] 이거 원래 3만원 짜린데 내가 실수해서 2만원에 줄게요. [SEP] 네?.아 혹시 제가 사서 가야하나요? [SEP] 아니면 이번 달 월급에서 빼고 그래도 싸구려 음식도 아닌데 그냥 주기는 아깝잖아? 알겠죠? 그렇게 알고 있을게요. [SEP] 아.저는 굳이.그렇게 까지.하,직장 내 괴롭힘 대화,갈취 대화
나후배 오빠랑 같이 밥먹고 데이트하자 [SEP] 죄송합니다. 선배. 저 선배한테 관심없어요. [SEP] 어허 선배가 사준다 하면 오빠 고맙습니다 하고 이쁘게 웃으면 되는거야. [SEP] 선배한테 밥 얻어먹을 이유 없고요. 예쁘게 웃으라는 발언 좀 불편합니다. [SEP] 아니 내가 성희롱을 했어? 왜 사람을 범죄자취급해? [SEP] 그렇게 들리셨으면 죄송합니다. 그치만 저는 싫어요. [SEP] 튕기는 것도 적당히 해야 귀여운거야. 나랑 척져봤자 대학생활 좋을 거 없어 [SEP] 선배 이러시는 거 협박이에요. [SEP] 협박같아? 곧 현실이 될걸? [SEP] 그럼 저도 가만히 있지 않을겁니다.,기타 괴롭힘 대화,직장 내 괴롭힘 대화
혹시 오늘 56교시에 자율 빠지고 수업 보충인가요? 저희반 애들이 그러길래. [SEP] 네 모르셨어요? 어떻게 애들보다 학교 공지가 더 느릴 수 있어요. [SEP] 저한테 공지가 안 와서 미쳐 확인 못 했네요. 이를 어쩌죠 교과서 안 가지고 온 애들이 많다고 하던데. 혹시 저희반 5교시 수학이던데 선생님. 오늘은 교과서 없이 수업 나가실 수 없을까요? [SEP] 그건 안되겠는데요. 이제 곧 시험이라 다른반이랑 똑같이 안 맞춰주면 애들사이에서 불만 나와요. 그니까 왜 담임이 되어서 학교 공지 확인을 안 하고 다니십니까? [SEP] 제가 확인 안 한게 아니고 공지 문자가 저한테만 안 온거 같아요. 누락된거 같아요. [SEP] 국어쌤 쌤이 학교 공지 담당이죠? 어제 수업 보충한다고 공지 보낸거 누락된 분도 계세요? [SEP] 없을걸요? 왜요 화학쌤이 그러셔요? 아니 제가 아무리 공지 누락 시켰다해도 알아서 확인 하셔야지. 그럼 뭐 애들은 따로 공지 받고 소식 아나요? [SEP] 저한테 공지가 안 온걸 제가 무슨 수로 알아봅니까. 학사일정에 자율이라 되어있으니 저는 학급활동 하려고 했죠. [SEP] 화학 쌤 반 애들 너무 불쌍하다. 시험기간 얼마 남았다고 에휴. 못난 담임 둬서 애들이 불쌍하네요. [SEP] 그러게 말이에요. 학교에 관심도 없고 공지도 안 해주고 애들 무슨 대학 수업 듣는것도 아니고 다 자기들 알아서 해야 하는건가봐요. 선생님 분발 좀 해요. 공지 안 온다고 손 빼놓고 있지 말고요. [SEP] 일부러 공지 저한테만 안 보내신거 아니죠.? 왠지 말씀하시는거 보니까 일부러 그러신거 같은데요. [SEP] 저봐 저봐 또 남한테 핑계를 찾네. 일부러 그랬다면 어쩔건데요. 그리고 담임이 되어서 내일 변동사항 없는지 다른 쌤들을 통해서라도 물어봐야 하는거 아닌가요?,직장 내 괴롭힘 대화,기타 괴롭힘 대화
아저씨 담배 있어요? [SEP] 없는데. [SEP] 그럼 저기 편의점에서 하나만 사다 주세요. [SEP] 지금 삥 뜯는 건가? [SEP] 에이. 부탁하는 거죠. [SEP] 누가 부탁을 이렇게 무서운 표정으로 해. [SEP] 하. 이 아저씨 말귀를 못 알아듣네. 거지냐고 썅. [SEP] 아니. [SEP] 말보로 레드. [SEP] 어어.,갈취 대화,기타 괴롭힘 대화
너 이자식 빨리 돈 안내놔 [SEP] 기다려 보라니까 돈주는게 어디 그렇게 쉽나 [SEP] 너 녀석이 시간 끌어서 경찰 데려오려는것 다 알아 [SEP] 그래서 어쩔건데 [SEP] 죽여야지 빨리 돈 줘! [SEP] 나 죽이면 너 죄는 가중되고 돈도 없을 텐데 [SEP] 너 이 자식 [SEP] 고문 한다고 하더라도 난 돈을 안줄거야 [SEP] 뭐야! [SEP] 어처피 날 죽일건데 [SEP] 너 진짜 이세상에서 흔적을 아예 없애줘? 어디서 이 자식이,갈취 대화,협박 대화
움직이지마! [SEP] 누구세요? [SEP] 보면몰라? 여기 가방에 다 넣어 죽기 싫으면 [SEP] 이러지마세요 신고할거에요 [SEP] 신고하기전에 니가 먼저 죽을걸 [SEP] 제발요 다치기 싫어요 [SEP] 다치기 싫으면 여기에 금 다 털어! [SEP] 요새 상황이 여의치 않아 이거 털리면 우리식구 다 길바닥에 내앉아져요 [SEP] 나는 이미 앉았어 얼른 넣어 잔말말고 [SEP] 네.,갈취 대화,협박 대화
저기요 혹시 가지마켓 뽀리님 맞으신가요? [SEP] 아 네네 맞아요. 자전거 가지고 나오셨나요? [SEP] 여기요. 혹시 모를 상태대비해서 제가 잡고 있을테니까 자전거 상태 확인해주세요. [SEP] 넵. 아 역시 리미티드라 그런지 와 상태도 좋고 멋진데요? [SEP] 그쵸 사실 이 자전거 원래 제가 1900만원 주고 구매했는데 더 좋은 주인 찾아 주려고 1000만원에 내놓은겁니다. 뭐 자전거에 관심 낳으실테니 잘 아시죠? [SEP] 아 당연하죠. 저 어쩌피 이 자전거 너무 마음에 들어서 구매할테니까 타고 한 바퀴만 돌아볼게요. 흔들림 없는지 확인해봐야 해서 [SEP] 그럼 믿고 자전거에서 손 땔게요. 타다가 고장나셔도 사셔야 합니다. [SEP] 넵 잠시만요 달려볼게요 으짜 오 완전 부드러운데 잘 나가는데요? 무게도 적당하고 그럼. 안녕히계세요 [SEP] 네? 저기요! 돈 주고 가셔야죠! 도둑이야 도둑! 도둑질 하시면 안되죠! [SEP] 그니까 왜 저를 믿었어요?! 아무나 믿고 살지 마세요! 그럼 진짜 안녕히 계세요!,갈취 대화,기타 괴롭힘 대화
빌린 돈 당장 갚아 [SEP] 지금 당장은 돈이 없습니다 [SEP] 내일까지 계좌로 오백 보내. [SEP] 당장 내일까지요? 그 돈을 어디서 구해요 [SEP] 안 보내면 . [SEP] 시간을 조금만 더 주세요 제가 다음 주까지는 꼭 꼭 구해올게요 . [SEP] 안 보내면 . 너 콩팥 한 쪽은 무사하지 못할 줄 알아 [SEP] 제발 한 번만 봐주세요 [SEP] 죽기 싫으면 내일 저기 앞 뒷골목에서 보자. [SEP] 흐읍흐읍 넵,협박 대화,갈취 대화
왜 남의것을 함부로 만져? [SEP] 뭐? 싸가지봐라 내맘인데? [SEP] 이리줘 [SEP] 싫어 이거 웃기다 애들 보여줄래 [SEP] 이리달라고 [SEP] 그래 가져가 [SEP] 내놔 [SEP] 근데 폰으로 이미 다 찍어놨는데 [SEP] 뭐? [SEP] 비밀 지켜주는대신 뭐해줄래?,협박 대화,갈취 대화
김사장님 별일 없으세요 ? [SEP] 자네가 여긴 어쩐 일인가. [SEP] 아니 말씀을 참 섭섭하게 하시네. 인사정도도 가볍게 못합니까 [SEP] 아니 자네가 그럴 의도로 올 사람이 아니라는 걸 알기 때문이지. [SEP] 크. 김사장님은 역시 눈치가 빨라서 참 좋단말이지. [SEP] 그래서 바라는게 뭔가 이번엔 [SEP] 이번에 사업 확장하신다는 소리를 들었는데 그 만큼 회사가 많이 큰데에는 제 몫도 있지 않겠습니까. [SEP] 자네 ? 자네가 뭘 도왔단 말인가. [SEP] 와 이렇게 나오시면 섭섭하죠. 그 동안 제가 애들 관리 다 해줘서 별 탈 없이 지금 자리 유지하시는거 아닙니까. [SEP] 자네가 자네 애들을 우리 회사에 풀어놓고 날 감시한 것 아닌가? [SEP] 그렇게 말씀하시면 서운합니다. 사장님 그럼 우리 애들이 도움이 안됐다는 건가요 허 참 [SEP] 그래. 그래서 뭘 원하는가. [SEP] 큰 거 두장만 주시면 됩니다. 그럼 이제 더 이상 사장님 사업에 저희 애들 개입 안시키고 얌전히 가겠습니다. [SEP] 큰 거 두장? 그게 갑자기 어떻게 생기나. 지금 시기가 어려운 거 자네도 알지 않나. [SEP] 아니 뭐 사업 확장은 종이 쪼가리로 한답니까? 다 있으신 거 압니다. 내일 다시 오겠습니다. 사장님. 후회할 짓 하지는 마시고요.,갈취 대화,직장 내 괴롭힘 대화
아 진짜 쟤 왜 이렇게 죽여버리고 싶지? [SEP] 그런 마음드는게 하루 이틀이냐 [SEP] 그만 하라고 제발 좀 [SEP] 니가 뭔데 이래라 저래라야 [SEP] 아 왜 치는데 [SEP] 더 때려줘? 주먹으로 아주 어루만져 줄까? [SEP] 아니 이게 진짜 [SEP] 나 저 새끼 한 손으로 이길 수 있는데 너 쟤랑 두 손으로 싸우면 내가 더 센 거다. 크크 [SEP] 걱정마 나 쟤 발로 상대해도 이겨,기타 괴롭힘 대화,협박 대화
야 저기 도움반 애 온다 [SEP] 쟤 진짜 짜증나 저번에 계속 나쫓아다님 [SEP] 지능이 낮아서 그런가 어어없네 [SEP] 확 쥐어패버릴까보다 [SEP] 안녕 얘들아 [SEP] 꺼지라고 말걸지말라고 [SEP] 죽여버린다 꺼지라고 [SEP] 왜그래 미안해 [SEP] 내눈에띄면죽인다 앞으로 다른길로가 [SEP] 응,기타 괴롭힘 대화,협박 대화
여보 오늘도 늦어요? [SEP] 여보라고 하지 말랬지. 징그럽게 .그 얼굴 좀 치워 구역질 나니까. [SEP] 얼굴에 화상이 심해서 성형으로도 안되는걸. [SEP] 얼굴이 그꼬라지면 돈이라도 많던가 [SEP] 친정에서 사업자금 많이 주셨잖아요. [SEP] 아 네네 생색은. 너같은 여자하고도 살아주는데 그럼 그 돈도 안주냐? [SEP] 친정집도 이제 어려워요. 집까지 팔았잖아요. [SEP] 놀고들있네.난 또 어마무시하게 큰 부자인줄알았지. 결혼할 때 [SEP] 당신 가져간 돈만해도 건물 몇채값이예요. [SEP] 이게 어디서 고개를 쳐들고 .징그러운 얼굴 안보이게 수건으로 좀 싸. 싸.웩 더러워.,기타 괴롭힘 대화,갈취 대화
아 나와봐 [SEP] 어 여기 내자린데. [SEP] 아 잠깐만 나오라고 [SEP] 응. [SEP] 너 옆에 계속 서있을거야? 신경쓰이니까 좀 어디 가있어 [SEP] 응. 근데 그 공책 내껀데. [SEP] 야 내가 가진댔냐? 잠깐 쓰는거야 [SEP] 아. 응. [SEP] 야 펜좀 [SEP] 여기. 돌려줘야해 [SEP] 어 알았어,기타 괴롭힘 대화,갈취 대화
아가씨 너희 집 어딘지 이제 아는데. [SEP] 선생님 제발 우리 집에는 오지 마세요. [SEP] 그럼 내가 얘기한 거 하면 돼잖아. [SEP] 그걸 어떻게 제가. [SEP] 안돼면 부모님에게 전화 가야지. [SEP] 선생님 제발요. [SEP] 가족들 얼굴도 봐야지. [SEP] 제발 안돼요. 할게요. [SEP] 3일 지났어. 2일 남았다. [SEP] 예. 할게요. 제발,협박 대화,기타 괴롭힘 대화
배고픈데 빵 좀 사와라 [SEP] 너가 좀 가 [SEP] 너가 가고 싶지 않으면 조용히 해 [SEP] 애들 그만 좀 시켜 [SEP] 너가 해라 그럼 [SEP] 싫어 [SEP] 싫어? 싫다 하면 끝이야? [SEP] 애들 그만 시키라고 [SEP] 그러니까 너가 해 아니면 넌 내 손에 맞아 죽어 [SEP] 하,기타 괴롭힘 대화,협박 대화
죄송하지만 좀 조용히 해주시겠어요? [SEP] 왜요? [SEP] 제가 잠을 좀 자려는 데 시끄러워서요. [SEP] 하하하 [SEP] 여보세요! 발로 그만 차세요. [SEP] 안했어요? 무슨소리에요? [SEP] 발로 차놓고서 안했다고 하나요? 여기 있어요! [SEP] 그래? 있으면 어쩔건대? [SEP] 공공장소에서 통화 간단히 하셔야죠. 30분 이상 떠들면 어떻게 합니까? [SEP] 내가 내 입갖고 말하는 데 네가 보태준거 있어? 죽을래?,기타 괴롭힘 대화,협박 대화
야 별이 핸드폰에 이상한 영상 있더라 [SEP] 그게 뭔데? [SEP] 노래방에서 알바한 영상 이던가? [SEP] 뭔 헛소리야 [SEP] 너네 남편이 알아도 그럴까? [SEP] 나 일리가 없잖아 [SEP] 그럼 영상 보내볼게 보고도 그런지 보자 [SEP] 나아니라구 [SEP] 그래? 그럼 너네 남편에게도 보내보면 알겠지 새끼야 [SEP] 너 협박죄야 이거,협박 대화,기타 괴롭힘 대화
나 너 살 안 빼면 헤어질거야 [SEP] 뭐? 진짜 내가 그 말 하지 말라고 했지 [SEP] 나 너 뱃살 있는 거 진짜 싫어 [SEP] 개새끼 [SEP] 살 얼른 빼 보기 싫으니까 [SEP] 작작 말해 미친 새끼 [SEP] 응응 이번에 살 안 빼면 진짜 나랑 그만 만나 [SEP] 알겠어 오빠 [SEP] 그래 뚱땡아아 [SEP] 응응 알겠어,협박 대화,기타 괴롭힘 대화
빌려간돈 500만원 갚겠다고한지가 벌써 2주가 지났는데 언제 갚을거요? [SEP] 거래처에서 주기로 한돈이 아직 입금이 안됐는데 몇일만 기다려주시죠 [SEP] 그렇게 미룬지가 벌써 3번째인데 왜자꾸 미룹니까? [SEP] 돈이 있으면 당장 드리죠 없으니 못드리는겁니다 [SEP] 자꾸 이런식으로 나오면 당신 회사로 쳐들어갈거요 험한꼴 안당할려면 당장 오늘까지 500 입금하세요 [SEP] 지금 협박하는거요? 있는데 안주는것도 아니고 맘데로 하세요 [SEP] 이거 안되겠네 너 집에 처자식 앞에서 맞아볼래? 내가 좋은 말로 하니까 우습지? [SEP] 맘대로 하라니까 지금은 돈 없어 못줘 기다릴거면 기다리고 [SEP] 이 새끼가 너 밤길 조심해라 대가리 깨지는 수가있다 잔말 말고 당장 돈 갖고 와 [SEP] 지금 통화내용 다 녹음했고 협박죄로 신거할거요,협박 대화,갈취 대화
야 뒤질래? [SEP] 하하 성찬아 왜 그래? 내가 뭐. 잘못했어? [SEP] 내가 오늘까지 내 아이디 레벨 30 만들어 오랬지. 만만하냐 이제? [SEP] 아. 진짜 미안해. 엄마가 컴퓨터 선을 뽑아버렸어. [SEP] 그 자식에 그 어미네. 야 내가 너 괴롭히는거야? [SEP] 괴롭히다니. 우리 친구잖아. [SEP] 그치 우리 친구지. 근데 왜 친구 부탁 안 들어줘? 개같이 맞을래? [SEP] 내가 내일까지는 무조건 해올게. 정말 미안해! [SEP] 내일까지 안 해오면 너 애들 앞에서 바지 벗을 줄 알아. [SEP] 미안해 성찬아.,기타 괴롭힘 대화,협박 대화
야. 보이냐? 개멋있지. 오백만원짜리 시계야. [SEP] 응. [SEP] 한번 만져나볼래? 아. 넌 본적도 없어서 뭐가 뭔지도 모르겠지? [SEP] 불쌍해라 불쌍해. 넌 여기있으면 안되고 후원 받는데 들어가야돼. [SEP] 아니야. 나도 열심히 살고 있어. [SEP] 열심히 산다고 돈이 들어와? 어휴 냄새. 좀 씻고나 다녀라 [SEP] . [SEP] 옷도 그게 뭐냐. 너 옷 일주일동안 입지? 촌스럽긴. [SEP] 아니야.,기타 괴롭힘 대화,갈취 대화
